[2025-03-14T18:13:36.222] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 99
[2025-03-14T18:13:36.275] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 100
[2025-03-14T18:13:36.312] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 101
[2025-03-14T18:13:36.401] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 102
[2025-03-14T18:13:36.519] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 103
[2025-03-14T18:13:36.593] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 104
[2025-03-14T18:13:36.667] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 105
[2025-03-14T18:13:36.743] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 106
[2025-03-14T18:13:36.830] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 107
[2025-03-14T18:13:36.900] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 108
[2025-03-14T18:13:36.988] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 109
[2025-03-14T18:13:37.380] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 110
[2025-03-14T18:13:37.479] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 111
[2025-03-14T18:13:37.656] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 112
[2025-03-14T18:13:37.737] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 113
[2025-03-14T18:13:37.827] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 114
[2025-03-14T18:13:37.909] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 115
[2025-03-14T18:13:38.020] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 116
[2025-03-14T18:13:38.108] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 117
[2025-03-14T18:13:38.264] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 118
[2025-03-14T18:13:38.343] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 119
[2025-03-14T18:13:38.858] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 120
[2025-03-14T18:13:38.952] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 121
[2025-03-14T18:13:39.029] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 122
[2025-03-14T18:13:39.158] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 123
[2025-03-14T18:13:39.230] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 124
[2025-03-14T18:13:39.307] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 125
[2025-03-14T18:13:39.419] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 126
[2025-03-14T18:13:39.542] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 127
[2025-03-14T18:13:39.624] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 128
[2025-03-14T18:13:39.733] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 129
[2025-03-14T18:13:39.813] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 130
[2025-03-14T18:13:39.894] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 131
[2025-03-14T18:13:39.998] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 132
[2025-03-14T18:13:40.070] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 133
[2025-03-14T18:13:40.543] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 134
[2025-03-14T18:13:40.635] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 135
[2025-03-14T18:13:40.764] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 136
[2025-03-14T18:13:40.851] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 137
[2025-03-14T18:13:40.852] [INFO] database - Closing database: uzp connection pool
[2025-03-14T18:13:54.562] [INFO] uzp - Logger initialized for uzp
[2025-03-14T18:13:54.563] [INFO] database - Database: uzp connection pool initialized
[2025-03-14T18:13:54.565] [INFO] uzp - Running model: uzp
[2025-03-14T18:13:54.794] [INFO] uzp - Found largest id: 137, starting with 138
[2025-03-14T18:13:55.190] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 138
[2025-03-14T18:13:55.523] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 139
[2025-03-14T18:13:55.844] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 140
[2025-03-14T18:13:56.236] [INFO] database - Database: uzp data inserted successfully into scraped_data, index: 141
[2025-03-14T18:13:58.403] [INFO] uzp - Logger initialized for uzp
[2025-03-14T18:13:58.404] [INFO] database - Database: uzp connection pool initialized
[2025-03-14T18:14:03.974] [INFO] database - Closing database: uzp connection pool
